epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,811.727,1.05614,1.71802,1.36401,0.53053,0.51867,0.49355,0.34635,1.07973,1.28262,1.38483,0.00333177,0.00333177,0.00333177
2,1526.13,1.01872,1.15884,1.31913,0.59808,0.48042,0.51464,0.36235,1.10318,1.30681,1.38431,0.00659912,0.00659912,0.00659912
3,2215.51,1.09689,1.25158,1.37487,0.56124,0.51238,0.51537,0.3598,1.14571,1.31165,1.44664,0.00980047,0.00980047,0.00980047
4,2897.76,1.128,1.30111,1.40422,0.60635,0.55246,0.55706,0.39366,1.1094,1.23198,1.43901,0.009703,0.009703,0.009703
5,3620.82,1.07967,1.18541,1.3627,0.65835,0.50194,0.55168,0.39621,1.05506,1.17909,1.36483,0.009604,0.009604,0.009604
6,4437.36,1.0409,1.10728,1.33833,0.54296,0.5717,0.59298,0.43135,1.01066,1.06689,1.3389,0.009505,0.009505,0.009505
7,5279.91,1.01142,1.03935,1.31026,0.72198,0.53785,0.5913,0.4374,0.99466,1.02452,1.30468,0.009406,0.009406,0.009406
8,6065.62,0.9888,1.00187,1.29561,0.72111,0.5542,0.6096,0.46044,0.9494,0.95651,1.2747,0.009307,0.009307,0.009307
9,6801.8,0.9655,0.96269,1.28044,0.5708,0.62072,0.60311,0.45613,0.9378,0.89688,1.27127,0.009208,0.009208,0.009208
10,7531.65,0.9622,0.94885,1.27346,0.7214,0.62888,0.6117,0.46491,0.91345,0.92428,1.23795,0.009109,0.009109,0.009109
11,8211.69,0.94065,0.91706,1.26093,0.65637,0.63995,0.61427,0.47306,0.89687,0.87457,1.22511,0.00901,0.00901,0.00901
12,8894.87,0.93409,0.89709,1.25575,0.58616,0.63273,0.62294,0.48114,0.88383,0.89506,1.20852,0.008911,0.008911,0.008911
13,9570.28,0.92324,0.88322,1.24925,0.5676,0.65742,0.61772,0.47582,0.8777,0.86422,1.20394,0.008812,0.008812,0.008812
14,10247.6,0.91658,0.86721,1.24295,0.59177,0.65905,0.62705,0.48712,0.86621,0.8604,1.1929,0.008713,0.008713,0.008713
15,10923.8,0.90507,0.85083,1.23566,0.57834,0.66977,0.62845,0.4874,0.85852,0.85747,1.19043,0.008614,0.008614,0.008614
16,11599.8,0.89914,0.84487,1.23059,0.58035,0.66413,0.62607,0.48868,0.84465,0.86614,1.18041,0.008515,0.008515,0.008515
17,12273.6,0.89377,0.83415,1.23218,0.65878,0.6811,0.62585,0.48835,0.83622,0.84909,1.17513,0.008416,0.008416,0.008416
18,12952.8,0.88777,0.81975,1.22449,0.65602,0.67883,0.63055,0.49539,0.83075,0.81793,1.16766,0.008317,0.008317,0.008317
19,13635.5,0.88571,0.80878,1.22005,0.5816,0.67544,0.63025,0.49707,0.82524,0.8271,1.16131,0.008218,0.008218,0.008218
20,14319.3,0.87471,0.7992,1.21421,0.66192,0.68435,0.62685,0.49579,0.81681,0.82109,1.1581,0.008119,0.008119,0.008119
21,14996,0.87276,0.7903,1.21058,0.67158,0.68392,0.6319,0.50021,0.80876,0.82569,1.14997,0.00802,0.00802,0.00802
22,15674.8,0.86865,0.78149,1.20712,0.67587,0.68224,0.63351,0.50082,0.8066,0.82054,1.14922,0.007921,0.007921,0.007921
23,16352,0.85967,0.77729,1.20313,0.67261,0.68299,0.63305,0.50106,0.80346,0.81231,1.14699,0.007822,0.007822,0.007822
24,17030.5,0.85395,0.76981,1.19909,0.66716,0.68136,0.63279,0.50324,0.79925,0.81177,1.14197,0.007723,0.007723,0.007723
25,17712.4,0.84881,0.75875,1.19333,0.74791,0.682,0.63327,0.50483,0.79423,0.80877,1.13783,0.007624,0.007624,0.007624
26,18389,0.8457,0.75714,1.19395,0.75032,0.68194,0.63389,0.5047,0.78961,0.81268,1.13361,0.007525,0.007525,0.007525
